"110","115","120","125","130","135","140","145","150","155","160","165","170","175","180","185","190","195","200","205","210","215","220","225","230","235","240","245","250","255","260","265","270","275","280","285","287.5","290","292.5","295","297.5","300","302.5","305","307.5","310","312.5","315","317.5","320","322.5","325","327.5","330","332.5","335","337.5","340","342.5","345","347.5","350","352.5","355","357.5","360","365","370","375","380","385","390","395","400","405","410","415","420","425","430","435","440","445","450","455","460","465","470","475","480","485","490","495","500","505","510","520","540","Date"
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.04,0.04,0.05,0.05,0.08,0.08,0.1,0.14,0.19,0.27,0.34,0.43,0.49,0.61,0.71,0.92,1.04,1.27,1.62,2.07,2.39,2.93,3.55,4.28,5.25,6.15,7.45,8.65,10.5,12.1,13.75,15.65,18.35,20.15,22.2,NA,27,NA,31.85,NA,40.94,35.78,50.17,54.05,59.15,60.27,68.13,66.25,72.35,77.37,86.57,78.55,82.35,90.94,101.6,113.3,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,NA,2023-08-28
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.04,0.02,0.03,0.03,0.05,0.05,0.06,0.07,0.1,0.13,0.17,0.19,0.23,0.28,0.32,0.39,0.49,0.57,0.74,0.9,1.18,1.48,1.87,2.4,2.92,3.55,4.57,5.6,6.75,8.3,9.81,11.65,13.45,15.65,17.8,NA,22.45,NA,27.4,NA,32.3,35.78,50.17,54.05,59.15,60.27,68.13,66.25,72.35,77.37,85.77,78.55,82.35,98.65,101.6,113.3,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,NA,2023-08-29
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.04,0.02,0.03,0.03,0.05,0.05,0.06,0.07,0.1,0.13,0.17,0.19,0.23,0.28,0.32,0.39,0.49,0.57,0.74,0.9,1.18,1.48,1.87,2.4,2.92,3.55,4.57,5.6,6.75,8.3,9.81,11.65,13.45,15.65,17.8,NA,22.45,NA,27.4,NA,32.3,35.78,50.17,54.05,59.15,60.27,68.13,66.25,72.35,77.37,85.77,78.55,82.35,98.65,101.6,113.3,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,NA,2023-08-30
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.03,0.03,0.05,0.05,0.06,0.08,0.09,0.12,0.14,0.16,0.19,0.24,0.28,0.33,0.41,0.52,0.64,0.81,1.06,1.38,1.77,2.35,2.95,3.88,4.9,6.05,7.35,9.05,10.9,12.85,15,17.2,NA,21.99,NA,27.47,NA,32.2,35.78,41.13,54.05,59.15,58.02,68.13,66.25,72.35,77.37,85.77,78.55,82.35,98.65,101.6,113.3,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,NA,2023-08-31
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.1,0.1,0.11,0.13,0.15,0.17,0.2,0.26,0.31,0.4,0.51,0.73,0.92,1.25,1.7,2.3,3.1,4,5.2,6.6,8.25,10.05,12.5,14.4,16.6,NA,22.12,NA,27.47,NA,31.89,35.78,41.13,54.05,59.15,58.02,68.13,66.25,72.35,77.37,85.77,78.55,82.35,98.65,101.6,113.3,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,NA,2023-09-01
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.09,0.11,0.12,0.14,0.17,0.23,0.29,0.39,0.54,0.74,1.05,1.48,1.95,2.84,3.85,5,6.45,8.2,10.05,11.55,NA,16.75,NA,21.24,NA,26.25,31.25,36.4,54.05,59.15,58.02,68.13,66.25,72.35,71.39,85.77,78.55,82.35,98.65,96.37,101.39,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,212.5,2023-09-05
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.08,0.08,0.09,0.12,0.13,0.15,0.18,0.23,0.27,0.38,0.44,0.62,0.82,1.14,1.55,2.1,2.84,3.8,5.1,6.55,8.51,10.35,13.25,15.85,18.22,20.6,23.55,23.51,27,31.25,38.3,54.05,59.15,58.02,58.8,66.25,72.35,71.39,85.77,78.55,82.35,98.65,98.2,103.21,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,212.5,2023-09-06
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.08,0.1,0.1,0.14,0.13,0.17,0.21,0.25,0.34,0.44,0.59,0.79,1.08,1.51,2.15,2.82,3.81,5.05,6.45,8.25,10.2,12.3,14.7,16.75,19.45,22.3,24.65,27,29.8,31.25,40.55,54.05,59.15,58.02,58.8,66.25,72.35,71.39,85.77,78.55,82.35,98.65,98.2,103.21,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,212.5,2023-09-07
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.09,0.08,0.1,0.12,0.14,0.18,0.22,0.3,0.4,0.64,0.89,1.25,1.86,2.72,3.75,5.25,7.05,8.95,11.34,13.6,16,18.95,20.45,27,26.04,31.25,35.5,40.29,59.15,58.02,58.8,66.25,72.35,71.39,85.77,78.55,82.35,98.65,98.2,103.21,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,212.5,2023-09-08
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.03,0.03,0.02,0.04,0.04,0.05,0.04,0.05,0.06,0.07,0.09,0.11,0.14,0.19,0.29,0.47,0.75,1.16,1.85,2.78,4.02,5.65,7.73,9.95,12.19,14.46,17.5,19.52,26.04,31.25,35.5,40.29,59.15,58.02,58.8,66.25,72.35,71.39,85.77,78.55,82.35,98.65,98.2,103.21,104.13,109.13,126.23,130.53,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,212.5,2023-09-11
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.08,0.12,0.17,0.28,0.45,0.74,1.2,1.97,3.12,4.6,6.36,8.45,10.85,12.7,13.45,17.72,20.06,21.5,22.48,27.25,31.25,36.2,40.29,59.15,58.02,58.8,66.25,72.35,71.39,85.77,78.55,82.35,98.65,98.2,103.21,104.13,109.13,126.23,123,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,204.15,2023-09-12
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.07,0.1,0.17,0.28,0.5,0.92,1.56,2.82,4.5,6.5,9.65,11.86,14.32,16.75,19.33,21.95,24.47,31.25,36.2,40.29,59.15,58.02,58.8,66.25,72.35,71.39,85.77,78.55,82.35,98.65,95,103.21,104.13,110,114.17,123,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,204.4,2023-09-13
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.04,0.05,0.09,0.17,0.42,1.02,2.24,3.95,6.7,7.75,11.4,14,16.4,21.95,20.68,31.25,36.2,40.29,59.15,58.02,58.8,66.25,72.35,71.39,85.77,78.55,82.35,98.65,95,103.21,104.13,110,114.17,123,140.15,126.55,147.48,152.48,157.48,162.65,167.67,168.32,176.6,181.5,186.15,172.75,204.4,2023-09-14
0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,1.98,4.68,7.15,9.53,11.95,14.53,15.55,19.65,14,22.95,21.95,27.14,33.7,33,40.29,59.15,58.02,58.8,66.25,69,71.39,79,78.55,88.11,98.65,100,103.21,104.13,110,114.17,123,140.15,129,147.48,152.48,157.48,148.3,167.67,159.25,176.6,181.5,186.15,172.75,204.4,2023-09-15
